name,address...2,phone,city,lon,lat,address...7
Grill'd Bondi Junction,"9-13 Bronte Rd,  BONDI JUNCTION 2022",9387 6666,Sydney,151.2494992,-33.8929936,"9-13 bronte rd, bondi junction nsw 2022, australia"
Grill'd Broadway,"Shop 217 Broadway Shopping Centre,  BROADWAY 2007",9211 1085,Sydney,151.1941253,-33.8834035,"shop 217/1 bay st, ultimo nsw 2007, australia"
Grill'd Chatswood,"Shop 7 The Concourse,  CHATSWOOD 2067",9411 4267,Sydney,151.1835533,-33.7959507,"shop 7 the concourse, 405-419 victoria ave, chatswood nsw 2067, australia"
Grill'd Crows Nest,"57 Willoughby Rd,  CROWS NEST 2065",9436 0699,Sydney,151.2009818,-33.8258976,"57 willoughby rd, crows nest nsw 2065, australia"
Grill'd Darlinghurst,"241 Crown St,  DARLINGHURST 2010",9380 4800,Sydney,151.2150083,-33.8795403,"241 crown st, darlinghurst nsw 2010, australia"
Grill'd Dee Why,"Shop 10-11, Corner Howard Ave & PIttwater Rd,  DEE WHY 2099",9188 8396,Sydney,151.2875319,-33.7534243,"shop 10-1 corner howard ave &, pittwater rd, dee why nsw 2099, australia"
Grill'd Galeries,"The Galeries,  SYDNEY 2000",9264 9566,Sydney,151.2075807,-33.8724051,"the galeries, 500 george st, sydney nsw 2000, australia"
Grill'd Kirrawee,"580 Princes Hwy,  KIRRAWEE 2232",8058 9600,Sydney,151.0729905,-34.0336049,"south village, shop g07/580 princes hwy, kirrawee nsw 2232, australia"
Grill'd Leichhardt,"Shop TO28 Norton Plaza,  LEICHHARDT 2040",95509499,Sydney,151.1574558,-33.8858258,"shop to28 norton plaza, 55 norton st, leichhardt nsw 2040, australia"
Grill'd MacArthur Square,"200 Gilchrist Dr,   CAMPBELLTOWN 2560",4625 3500,Sydney,150.7976599,-34.0733804,"200 gilchrist dr, campbelltown nsw 2560, australia"
Grill'd Macquarie Centre,"Macquarie Shopping Centre, Level 4,  NORTH RYDE 2113",9888 7700,Sydney,151.1194891,-33.7765996,"level 3 cnr waterloo rd &, herring rd, north ryde nsw 2113, australia"
Grill'd Miranda,"Westfield Miranda, Level 4 Restaurant Precinct,  MIRANDA 2228",9524 7111,Sydney,151.1007563,-34.0344578,"westfield miranda, level 4 restaurant precinct 600, kingsway, miranda nsw 2228, australia"
Grill'd Neutral Bay,"24 Grosvenor St,  NEUTRAL BAY 2089",8969 6277,Sydney,151.2210905,-33.8298983,"24 grosvenor st, neutral bay nsw 2089, australia"
Grill'd Penrith,"585 High St,  PENRITH 2750",4721 8300,Sydney,150.6938829,-33.7516882,"585 high st, penrith nsw 2750, australia"
Grill'd Rouse Hill,"Shop GR049 Rouse Hill Town Centre,  ROUSE HILL 2155",9836 5666,Sydney,150.9263176,-33.69041,"shop gr049 rouse hill town centre, white hart dr, rouse hill nsw 2155, australia"
Grill'd Westfield Parramatta,"Shop 4069 Westfield Parramatta,  PARRAMATTA 2150",9633 2300,Sydney,151.0031339,-33.8172273,"shop 4069 westfield parramatta, 159-175 church st, parramatta nsw 2150, australia"
Grill'd Westfield Sydney,"Westfield Sydney, Level 6,  SYDNEY 2000",9223 7474,Sydney,151.2092834,-33.8701154,"westfield sydney, level 6/188 pitt st, sydney nsw 2000, australia"
Grill'd Wetherill Park,"Stockland Wetherill Park Shopping Centre,  WETHERILL PARK 2164",9756 1444,Sydney,150.8988602,-33.8576497,"stockland wetherill park shopping centre, 561-583 polding st, wetherill park nsw 2164, australia"
Grill'd World Square,"World Square Shopping Centre,  SYDNEY 2000",9261 4900,Sydney,151.2068698,-33.877279,"world square shopping centre, 644 george st, sydney nsw 2000, australia"
