name,address,phone,city,lon,lat
Grill'd Bondi Junction,9-13 Bronte Rd/nBondi Junction NSW 2022/nAustralia,9387 6666,Sydney,151.2494992,-33.8929936
Grill'd Broadway,Shop 217/1 Bay St/nUltimo NSW 2007/nAustralia,9211 1085,Sydney,151.1941253,-33.8834035
Grill'd Chatswood,Shop 7 The Concourse/n405-419 Victoria Ave/nChatswood NSW 2067/nAustralia,9411 4267,Sydney,151.1835533,-33.7959507
Grill'd Crows Nest,57 Willoughby Rd/nCrows Nest NSW 2065/nAustralia,9436 0699,Sydney,151.2009818,-33.8258976
Grill'd Darlinghurst,241 Crown St/nDarlinghurst NSW 2010/nAustralia,9380 4800,Sydney,151.2150083,-33.8795403
Grill'd Dee Why,Shop 10-1 Corner Howard Ave &/nPittwater Rd/nDee Why NSW 2099/nAustralia,9188 8396,Sydney,151.2875319,-33.7534243
Grill'd Galeries,The Galeries/n500 George St/nSydney NSW 2000/nAustralia,9264 9566,Sydney,151.2075807,-33.8724051
Grill'd Kirrawee,South Village/nShop G07/580 Princes Hwy/nKirrawee NSW 2232/nAustralia,8058 9600,Sydney,151.0729905,-34.0336049
Grill'd Leichhardt,Shop To28 Norton Plaza/n55 Norton St/nLeichhardt NSW 2040/nAustralia,95509499,Sydney,151.1574558,-33.8858258
Grill'd MacArthur Square,200 Gilchrist Dr/nCampbelltown NSW 2560/nAustralia,4625 3500,Sydney,150.7976599,-34.0733804
Grill'd Macquarie Centre,Level 3 Cnr Waterloo Rd &/nHerring Rd/nNorth Ryde NSW 2113/nAustralia,9888 7700,Sydney,151.1194891,-33.7765996
Grill'd Miranda,Westfield Miranda/nLevel 4 Restaurant Precinct 600/nKingsway/nMiranda NSW 2228/nAustralia,9524 7111,Sydney,151.1007563,-34.0344578
Grill'd Neutral Bay,24 Grosvenor St/nNeutral Bay NSW 2089/nAustralia,8969 6277,Sydney,151.2210905,-33.8298983
Grill'd Penrith,585 High St/nPenrith NSW 2750/nAustralia,4721 8300,Sydney,150.6938829,-33.7516882
Grill'd Rouse Hill,Shop Gr049 Rouse Hill Town Centre/nWhite Hart Dr/nRouse Hill NSW 2155/nAustralia,9836 5666,Sydney,150.9263176,-33.69041
Grill'd Westfield Parramatta,Shop 4069 Westfield Parramatta/n159-175 Church St/nParramatta NSW 2150/nAustralia,9633 2300,Sydney,151.0031339,-33.8172273
Grill'd Westfield Sydney,Westfield Sydney/nLevel 6/188 Pitt St/nSydney NSW 2000/nAustralia,9223 7474,Sydney,151.2092834,-33.8701154
Grill'd Wetherill Park,Stockland Wetherill Park Shopping Centre/n561-583 Polding St/nWetherill Park NSW 2164/nAustralia,9756 1444,Sydney,150.8988602,-33.8576497
Grill'd World Square,World Square Shopping Centre/n644 George St/nSydney NSW 2000/nAustralia,9261 4900,Sydney,151.2068698,-33.877279
